date,price,volume
2020-08-30,22.959189555,473996007.6480502
2020-08-29,23.083402546,430801156.1638413
2020-08-28,23.090334513,637026848.1024593
2020-08-27,22.214208418,541759867.5707589
2020-08-26,21.40964986,539574280.39122
2020-08-25,22.591033691,438517330.7418346
2020-08-24,21.841785715,409301777.21242213
2020-08-23,22.232131232,420995304.08606535
2020-08-22,22.067822927,509710728.7454593
2020-08-21,23.085796397,544773962.7865827
2020-08-20,22.319133095,474637389.8158683
2020-08-19,23.012225373,546279569.3505801
2020-08-18,23.492798827,562455597.7944207
2020-08-17,23.495892645,590818472.7173451
2020-08-16,23.032922301,567004374.1687131
2020-08-15,23.090514707,723350122.6668305
2020-08-14,21.761357034,680608264.7132155
2020-08-13,21.52328891,432278935.09567416
2020-08-12,21.273117866,463515706.39054745
2020-08-11,22.610214374,410394842.88242406
2020-08-10,22.43850308,492362152.28574044
2020-08-09,22.886025026,505429339.80504566
2020-08-08,22.250136695,550836248.1414361
2020-08-07,22.714486557,554918344.5743966
2020-08-06,23.25287659,612169646.0399848
2020-08-05,22.28717313,672700993.2879635
2020-08-04,22.036222718,551919498.5543985
2020-08-03,20.959344923,542188406.2106624
2020-08-02,21.596028463,628826459.1974176
2020-08-01,20.668560081,471314293.10742974
2020-07-31,19.975449867,438596606.2544336
2020-07-30,19.876611602,402185806.75454
2020-07-29,20.175950137,501370900.81093365
2020-07-28,19.71024738,640688301.7038622
2020-07-27,19.552664369,508204087.20537674
2020-07-26,19.800560628,521370798.3933332
2020-07-25,19.178243233,509325404.33506083
2020-07-24,18.742574717,412581831.46506655
2020-07-23,18.102012364,393457460.8665583
2020-07-22,17.707106863,300294026.2690194
2020-07-21,17.452451466,312144721.04152656
2020-07-20,17.987681868,295235376.5380138
2020-07-19,17.122016296,260595756.61458647
2020-07-18,17.063829142,193041049.3160059
2020-07-17,17.152039768,227704580.22514173
2020-07-16,17.575479143,253854182.72784975
2020-07-15,18.029906028,267229937.3989623
2020-07-14,18.340318598,361522304.87071115
2020-07-13,18.302014855,335955783.18918955
2020-07-12,17.561990079,331460636.6713705
2020-07-11,17.234925988,258933780.3399923
2020-07-10,16.813556481,224351355.92651346
