date,price,volume
2024-06-19,65175.32,99459975582
2024-06-18,66487.62,105436105675.87848
2024-06-17,66679.37,86664744891.26389
2024-06-16,66228.19,76461375993.26389
2024-06-15,65992.06,91215626049.64583
2024-06-14,66772.99,98995504258.57986
2024-06-13,68263.95,111573193221.80902
2024-06-12,67314.24,107347892439.03473
2024-06-11,69540.15,104796038194.81944
2024-06-10,69648.18,87451861112.73958
2024-06-09,69310.52,83310044389.57639
2024-06-08,69355.62,103610754573.20833
2024-06-07,70799.08,106092074580.18056
2024-06-06,71087.06,102877542640.21875
2024-06-05,70537.85,111311224610.05208
2024-06-04,68809.87,104654845182.98264
2024-06-03,67779.94,97398272823.32986
2024-06-02,67766.88,81799035674.69444
2024-06-01,67545.59,92032958380.85417
2024-05-31,68352.12,99878780775.00348
2024-05-30,67575.28,99654420792.42014
2024-05-29,68398.42,100941705870.14583
2024-05-28,69377.71,104610415892.73264
2024-05-27,68513.99,94366758873.81598
2024-05-26,69284.48,88617970999.7743
2024-05-25,68549.98,98349462378.77083
2024-05-24,67989.95,118732856369.60764
2024-05-23,69166.59,111358739714.12152
2024-05-22,70145.51,116115129934.34375
2024-05-21,71413.26,140382014974.79166
2024-05-20,66278.22,97673519611.45486
2024-05-19,66915.16,84425742668.57986
2024-05-18,67030.03,93829825867.83333
2024-05-17,65234.32,102634356864.29514
2024-05-16,66206.5,115681520609.19792
2024-05-15,61577.48,100366232949.29514
2024-05-14,62940.1,96890384586.05902
2024-05-13,61444.49,90675951502.60417
2024-05-12,60816.04,76159301784.85764
2024-05-11,60800.03,93416078524.9132
2024-05-10,63074.05,99784445417.81598
2024-05-09,61203.59,96371791598.55902
2024-05-08,62312.12,96231033741.69098
2024-05-07,63165.14,102284339989.3368
2024-05-06,64011.98,95229564647.93056
2024-05-05,63893.95,89483521887.88542
2024-05-04,62870.12,105858800461.71875
2024-05-03,59112.48,104745197131.86806
2024-05-02,58365.01,131432823893.60417
2024-05-01,60669.84,159023293590.83334
2024-04-30,63822.08,143219209457.94446
2024-04-29,63109.65,128855842856.74306
2024-04-28,63461.99,123978125785.5382
2024-04-27,63770.01,131524789158.24306
2024-04-26,64486.53,144552429807.04514
2024-04-25,64289.6,149157965211.65625
2024-04-24,66414.01,138491370322.2986
2024-04-23,66822.2,140913944149.0486
2024-04-22,64937.94,140020711835.5104
2024-04-21,64940.62,132646330534.83333
2024-04-20,63818.04,153799823273.2257
2024-04-19,63459.73,179591776267.1359
2024-04-18,61277.35,162264150662.4331
2024-04-17,63793.38,159271475773.6007
2024-04-16,63408.02,164862168464.25696
2024-04-15,65666.9,167288178450.46527
2024-04-14,63919.56,193384733405.9271
2024-04-13,67129,170831383575.80554
2024-04-12,70006.21,156492733608.7986
2024-04-11,70631.08,163547750232.02777
2024-04-10,69156,158873955437.3136
2024-04-09,71631.94,132212729053.50348
2024-04-08,69360.36,53132608634.298615
2024-04-07,68884.31,38671272310.635414
2024-04-06,67820.6,48123401317.81944
2024-04-05,68487.85,65461159217.25347
2024-04-04,65963.32,54141942846.19231
2024-04-03,65441.29,72688212424.20833
2024-04-02,69660.01,76064873523.09375
2024-04-01,71286.78,48160176927.625
2024-03-31,69585.1,33677901684.583332
2024-03-30,69850.56,39660445250.3125
2024-03-29,70777.96,51437435661.07317
2024-03-28,69470.04,67541826095.72474
2024-03-27,70007.73,66048307394.06597
2024-03-26,69890.04,73539340915.59027
2024-03-25,67190.84,59754058610.107635
2024-03-24,64004.05,45004303016.263885
2024-03-23,63799.98,64367437851.295135
2024-03-22,65499.91,70832261570.22299
2024-03-21,67842.99,95877864553.05208
2024-03-20,61972.04,115391694995.10417
