date,price,volume
2024-06-20,135.1723,4796050251.355401
2024-06-19,137.8197,6040323219.310104
2024-06-18,143.4901,7231049176.836237
2024-06-17,151.3453,3783287426.1114984
2024-06-16,145.2648,2189576152.8466897
2024-06-15,143.2414,3855265324.344948
2024-06-14,147.8874,4323341964.522648
2024-06-13,154.7473,5539350030.836237
2024-06-12,149.4568,5685238302.271777
2024-06-11,159.1487,4744027297.644599
2024-06-10,162.0955,2872908947.250871
2024-06-09,158.0616,2880961730.6829267
2024-06-08,163.0927,5204829354.850174
2024-06-07,170.4043,4202125078.8292685
2024-06-06,173.7782,3408966476.7212543
2024-06-05,172.0729,4399170128.923345
2024-06-04,165.7008,3629719627.28223
2024-06-03,163.1187,3634239564.1149826
2024-06-02,166.2096,2270918814.41115
2024-06-01,165.9936,3174236646.3344946
2024-05-31,166.7098,4502958698.25784
2024-05-30,168.709,4953547878.097561
2024-05-29,168.9308,5404494043.735191
2024-05-28,169.8597,5436839186.731708
2024-05-27,163.5099,4375583748.777003
2024-05-26,168.2117,3520550845.860627
2024-05-25,167.5602,4557844168.965157
2024-05-24,175.5439,8492368882.400697
2024-05-23,177.2966,6699687908.7874565
2024-05-22,178.2513,6583162035.219512
2024-05-21,185.9284,8868578392.292683
2024-05-20,170.3645,6153724180.543554
2024-05-19,172.4283,4051142524.794425
2024-05-18,169.4007,5131218759.156795
2024-05-17,159.4632,6194902869.324041
2024-05-16,158.7798,7123687093
2024-05-15,142.3634,4943437559.059234
2024-05-14,147.2124,5044092508.337979
2024-05-13,143.9827,4326537460.832752
2024-05-12,145.7461,2373714563.02439
2024-05-11,146.5288,4541212602.069686
2024-05-10,152.1553,5288021081.174216
2024-05-09,142.2416,5094362781.421603
2024-05-08,148.5819,5358276600.010453
2024-05-07,153.7514,6554100299.442509
2024-05-06,146.229,4595609507.04878
2024-05-05,146.3556,3432309615.6027875
2024-05-04,143.963,5079411037.7735195
2024-05-03,137.9501,6332723997.327526
2024-05-02,134.868,8249474771.243902
2024-05-01,126.8742,7600549685.714286
2024-04-30,137.3719,5736261404.818815
2024-04-29,138.3652,3975862007.432056
2024-04-28,141.358,3749075028.836237
2024-04-27,139.9903,4819667865.898954
2024-04-26,145.0718,5648074025.299651
2024-04-25,148.0475,7216917820.062717
2024-04-24,155.5597,6386952649.393728
2024-04-23,156.7517,5869906379.341463
2024-04-22,149.027,5946708932.815331
2024-04-21,150.3771,5513019900.867596
2024-04-20,142.7514,7823794464.271777
2024-04-19,141.2914,12440496693.95105
2024-04-18,132.7652,11087162279.639576
2024-04-17,136.2146,10815713155.714285
2024-04-16,138.4363,11756394696.174215
2024-04-15,149.8842,13258300658.376307
2024-04-14,139.6724,21262256843.027874
2024-04-13,152.9253,12999382837.268293
2024-04-12,173.0366,6849854008.306621
2024-04-11,172.8637,7459801916.878049
2024-04-10,172.1572,7052221027.555944
2024-04-09,180.2091,5965575478.23345
2024-04-08,178.6061,5428330615.104529
2024-04-07,178.3131,5471577644.184669
2024-04-06,174.2456,6015238920.947735
2024-04-05,183.3183,7703262569.968641
2024-04-04,185.1134,6641843893.71579
2024-04-03,181.2036,9545843429.818815
2024-04-02,192.0343,9043196790.400698
2024-04-01,202.4483,7325107524.229965
2024-03-31,195.0197,5085081848.759582
2024-03-30,191.5395,7240770668.069686
2024-03-29,189.1803,6127292684.090909
2024-03-28,185.6602,7487891722.86014
2024-03-27,190.3191,7921551683.142858
2024-03-26,188.8687,8418444707.808362
2024-03-25,183.5205,7866425126.094077
2024-03-24,174.0882,5328791220.135888
2024-03-23,173.9777,8046602980.56446
2024-03-22,179.1178,10430319329.923077
2024-03-21,190.1742,16243635104.498259
