date,price,volume
2024-06-20,3567.5669,18144710484.853657
2024-06-19,3494.1308,22778733739.61324
2024-06-18,3527.9577,23930785821.7108
2024-06-17,3642.0912,17339845259.048782
2024-06-16,3581.4901,13016030239.463415
2024-06-15,3498.1517,19756475838.763065
2024-06-14,3536.0149,20153361899.055748
2024-06-13,3586.2721,23211103123.770035
2024-06-12,3536.8556,23450549242.818817
2024-06-11,3692.0118,21582378438.477352
2024-06-10,3718.052,13743983447.017422
2024-06-09,3701.2617,13138578064.8223
2024-06-08,3692.4326,22112730180.585365
2024-06-07,3793.6145,20603711252.878048
2024-06-06,3838.5863,19970081917.759583
2024-06-05,3795.4214,20340658273.08711
2024-06-04,3760.3363,19452924197.55401
2024-06-03,3764.2367,18158729639.44948
2024-06-02,3784.9528,15485260823.125435
2024-06-01,3756.2266,19357635370.045296
2024-05-31,3745.2897,21320456633.634148
2024-05-30,3762.5786,22354133103.777004
2024-05-29,3822.6668,24065068932.97561
2024-05-28,3858.295,25053251979.163765
2024-05-27,3801.3107,23755397501.55401
2024-05-26,3747.1139,17103181755.10453
2024-05-25,3725.8296,21662918305.146343
2024-05-24,3768.5169,50662180631.808365
2024-05-23,3743.3851,38218067429.25087
2024-05-22,3782.7658,40014294156.902435
2024-05-21,3668.3001,51567094232.36585
2024-05-20,3073.1032,16711641275.91986
2024-05-19,3124.5805,10498406217.547039
2024-05-18,3094.1352,15607196432.749128
2024-05-17,2944.6721,17499374712.27526
2024-05-16,3037.0939,18409130091.707317
2024-05-15,2890.9995,15530322763.84669
2024-05-14,2950.9286,15243697099.031359
2024-05-13,2939.8921,14451671027.114983
2024-05-12,2921.2714,8710887809.041811
2024-05-11,2917.1542,14615951567.163763
2024-05-10,3036.2341,15348847522.299652
2024-05-09,2982.4435,15431620439.303137
2024-05-08,3016.9787,16305526586.721254
2024-05-07,3073.4499,18009353668.947735
2024-05-06,3147.9043,14774931107.118467
2024-05-05,3123.1863,12769298228.240417
2024-05-04,3109.0019,16112788053.874565
2024-05-03,2995.1504,17797249529.780487
2024-05-02,2982.6549,24512610743.36934
2024-05-01,3020.1584,27698776252.498257
2024-04-30,3215.8261,22560950656.414635
2024-04-29,3276.7759,20112239962.38676
2024-04-28,3262.7431,17495409070.247387
2024-04-27,3138.1956,16096897368.655052
2024-04-26,3159.7408,17568442069.9338
2024-04-25,3144.7356,20916663780.80488
2024-04-24,3226.5814,16777945141.348433
2024-04-23,3203.5081,15615157883.369337
2024-04-22,3154.885,15268999696.658537
2024-04-21,3152.6366,13828359560.832752
2024-04-20,3061.1119,18414450765.38676
2024-04-19,3064.6866,26626321057.444057
2024-04-18,2994.9314,24462589620.685513
2024-04-17,3086.2507,23766865779.351917
2024-04-16,3104.6052,29508772950.404182
2024-04-15,3148.3086,30679480180.114983
2024-04-14,3020.6766,45094615982.205574
2024-04-13,3231.1639,32796794122.344948
2024-04-12,3515.9494,20597446897.686413
2024-04-11,3544.0727,23359330960.536587
2024-04-10,3505.5251,25494309764.846153
2024-04-09,3702.1783,27414389831.860626
2024-04-08,3456.3606,20463939705.55052
2024-04-07,3360.5925,12749497898.470383
2024-04-06,3318.1087,16843599707.247387
2024-04-05,3324.0272,23831950603.118465
2024-04-04,3314.8306,20347805872.010525
2024-04-03,3283.1728,27226114831.296165
2024-04-02,3511.5634,28351731556.358887
2024-04-01,3652.7203,18201134326.12892
2024-03-31,3517.0681,14470853501.923346
2024-03-30,3516.4117,16656105596.710802
2024-03-29,3567.225,18536682158.29021
2024-03-28,3505.8286,25601507536.755245
